Ticker,Market,Company,Listing_Year,Listing_Date,Source,Notes
688729,SSE,北京屹唐半导体科技股份有限公司,2025,2025-07-08,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688729.phtml,科创板
688783,SSE,西安奕斯伟材料科技股份有限公司,2025,2025-10-28,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688783.phtml,科创板
688765,SSE,武汉禾元生物科技股份有限公司,2025,2025-10-28,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688765.phtml,科创板
688759,SSE,广州必贝特医药股份有限公司,2025,2025-10-28,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688759.phtml,科创板
688727,SSE,厦门恒坤新材料科技股份有限公司,2025,2025-11-18,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688727.phtml,科创板
688795,SSE,摩尔线程智能科技(北京)股份有限公司,2025,2025-12-05,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688795.phtml,科创板
688796,SSE,百奥赛图(北京)医药科技股份有限公司,2025,2025-12-10,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688796.phtml,科创板
688790,SSE,北京昂瑞微电子技术股份有限公司,2025,2025-12-16,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688790.phtml,科创板
688802,SSE,沐曦集成电路(上海)股份有限公司,2025,2025-12-17,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688802.phtml,科创板
688807,SSE,厦门优迅芯片股份有限公司,2025,2025-12-19,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688807.phtml,科创板
688805,SSE,宁波健信超导科技股份有限公司,2025,2025-12-24,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688805.phtml,科创板
688809,SSE,强一半导体(苏州)股份有限公司,2025,2025-12-30,https://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/688809.phtml,科创板
301317,SZSE,鑫磊股份,2023,2023-01-19,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301317,创业板
301260,SZSE,格力博,2023,2023-02-08,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301260,创业板
301373,SZSE,凌玮科技,2023,2023-02-08,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301373,创业板
301419,SZSE,阿莱德,2023,2023-02-09,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301419,创业板
301358,SZSE,湖南裕能,2023,2023-02-09,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301358,创业板
001314,SZSE,亿道信息,2023,2023-02-14,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001314,深交所主板
001260,SZSE,坤泰股份,2023,2023-02-16,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001260,深交所主板
301303,SZSE,真兰仪表,2023,2023-02-20,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301303,创业板
001225,SZSE,和泰机电,2023,2023-02-22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001225,深交所主板
001311,SZSE,多利科技,2023,2023-02-27,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001311,深交所主板
301408,SZSE,华人健康,2023,2023-03-01,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301408,创业板
001337,SZSE,四川黄金,2023,2023-03-03,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001337,深交所主板
301322,SZSE,绿通科技,2023,2023-03-06,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301322,创业板
001366,SZSE,播恩集团,2023,2023-03-07,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001366,深交所主板
001278,SZSE,一彬科技,2023,2023-03-08,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001278,深交所主板
301157,SZSE,华塑科技,2023,2023-03-09,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301157,创业板
001368,SZSE,通达创智,2023,2023-03-13,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001368,深交所主板
301439,SZSE,泓淋电力,2023,2023-03-17,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301439,创业板
301378,SZSE,通达海,2023,2023-03-20,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301378,创业板
301246,SZSE,宏源药业,2023,2023-03-20,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301246,创业板
301345,SZSE,涛涛车业,2023,2023-03-21,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301345,创业板
301314,SZSE,科瑞思,2023,2023-03-28,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301314,创业板
